Index ID,Date (dd/mm/yyyy),CustomerID,PromotionID,Product ID,Units Sold,Price Per Unit,Total sales,Offers %,Discount value only,Net Sales,Profit
1,04/02/2020,10,0,P004,2,64999,129998,0,0,129998,12999.8
2,03/10/2023,18,0,P001,1,79999,79999,0,0,79999,7999.9
3,02/01/2022,34,0,P002,1,69999,69999,0,0,69999,6999.9
4,19/05/2022,28,PR001,P027,3,699,2097,20,419.4,1677.6,167.76
5,29/05/2023,17,PR001,P002,3,69999,209997,20,41999.4,167997.6,16799.76
6,08/07/2023,28,PR004,P002,3,69999,209997,50,104998.5,104998.5,10499.85
7,13/12/2022,23,0,P002,3,69999,209997,0,0,209997,20999.7
8,01/07/2022,2,0,P011,3,1499,4497,0,0,4497,449.7
9,01/01/2022,48,PR003,P011,3,1499,4497,50,2248.5,2248.5,224.85
10,06/04/2022,11,PR001,P009,2,3499,6998,20,1399.6,5598.4,559.84
11,25/05/2023,48,PR001,P005,3,92499,277497,20,55499.4,221997.6,22199.76
12,26/04/2020,3,PR001,P005,3,92499,277497,20,55499.4,221997.6,22199.76
13,11/02/2023,44,0,P019,1,5999,5999,0,0,5999,599.9
14,25/05/2022,21,PR001,P019,2,5999,11998,20,2399.6,9598.4,959.84
15,15/07/2023,42,PR004,P014,2,4999,9998,50,4999,4999,499.9
16,28/01/2021,46,0,P025,1,8999,8999,0,0,8999,899.9
17,29/03/2020,31,0,P008,2,5499,10998,0,0,10998,1099.8
18,23/08/2020,28,0,P010,2,2199,4398,0,0,4398,439.8
19,01/10/2020,12,0,P010,1,2199,2199,0,0,2199,219.9
20,10/03/2022,2,0,P010,3,2199,6597,0,0,6597,659.7
21,08/11/2021,40,0,P012,1,2999,2999,0,0,2999,299.9
22,20/02/2021,40,0,P013,1,15999,15999,0,0,15999,1599.9
23,12/11/2020,8,0,P029,1,99,99,0,0,99,9.9
24,02/02/2023,25,0,P029,2,99,198,0,0,198,19.8
25,19/06/2020,31,0,P016,3,24999,74997,0,0,74997,7499.7
26,05/01/2023,44,0,P016,2,24999,49998,0,0,49998,4999.8
27,15/12/2022,41,0,P022,3,1999,5997,0,0,5997,599.7
28,18/04/2021,17,PR001,P017,1,10499,10499,20,2099.8,8399.2,839.92
29,30/01/2020,1,0,P018,1,2299,2299,0,0,2299,229.9
30,22/07/2021,6,0,P023,3,1499,4497,0,0,4497,449.7
31,07/02/2022,27,0,P028,2,349,698,0,0,698,69.8
32,16/05/2021,43,PR001,P001,3,79999,239997,20,47999.4,191997.6,19199.76
33,20/02/2020,24,0,P020,2,12999,25998,0,0,25998,2599.8
34,28/08/2020,14,0,P017,3,10499,31497,0,0,31497,3149.7
35,24/02/2022,20,0,P013,3,15999,47997,0,0,47997,4799.7
36,18/09/2020,14,0,P025,2,8999,17998,0,0,17998,1799.8
37,04/07/2020,49,PR004,P023,1,1499,1499,50,749.5,749.5,74.95
38,10/06/2021,31,0,P014,1,4999,4999,0,0,4999,499.9
39,31/12/2023,29,PR005,P018,1,2299,2299,70,1609.3,689.7,68.97
40,21/06/2021,43,0,P020,3,12999,38997,0,0,38997,3899.7
41,09/09/2022,11,0,P020,3,12999,38997,0,0,38997,3899.7
42,19/09/2021,27,0,P023,3,1499,4497,0,0,4497,449.7
43,22/09/2021,18,0,P016,1,24999,24999,0,0,24999,2499.9
44,03/05/2022,9,PR001,P004,2,64999,129998,20,25999.6,103998.4,10399.84
45,31/12/2023,33,PR005,P019,3,5999,17997,70,12597.9,5399.1,539.91
46,30/10/2022,42,0,P017,1,10499,10499,0,0,10499,1049.9
47,07/04/2022,17,PR001,P010,1,2199,2199,20,439.8,1759.2,175.92
48,03/04/2022,32,PR001,P008,1,5499,5499,20,1099.8,4399.2,439.92
49,01/08/2020,24,0,P023,3,1499,4497,0,0,4497,449.7
50,09/02/2022,25,0,P002,1,69999,69999,0,0,69999,6999.9
51,12/11/2023,32,0,P010,2,2199,4398,0,0,4398,439.8
52,23/12/2022,35,0,P028,2,349,698,0,0,698,69.8
53,11/09/2022,10,0,P019,1,5999,5999,0,0,5999,599.9
54,24/01/2021,3,0,P002,3,69999,209997,0,0,209997,20999.7
55,19/09/2022,49,0,P007,3,6999,20997,0,0,20997,2099.7
56,03/09/2023,42,0,P007,1,6999,6999,0,0,6999,699.9
57,07/09/2023,16,0,P018,2,2299,4598,0,0,4598,459.8
58,01/03/2023,46,0,P026,3,5499,16497,0,0,16497,1649.7
59,11/02/2020,1,0,P011,3,1499,4497,0,0,4497,449.7
60,29/05/2022,4,PR001,P018,3,2299,6897,20,1379.4,5517.6,551.76
61,15/04/2020,18,PR001,P023,3,1499,4497,20,899.4,3597.6,359.76
62,01/07/2023,7,PR004,P013,3,15999,47997,50,23998.5,23998.5,2399.85
63,24/11/2021,19,0,P022,3,1999,5997,0,0,5997,599.7
64,07/08/2023,45,0,P009,1,3499,3499,0,0,3499,349.9
65,02/10/2023,33,0,P021,3,1299,3897,0,0,3897,389.7
66,11/05/2023,13,PR001,P009,3,3499,10497,20,2099.4,8397.6,839.76
67,17/05/2023,47,PR001,P019,1,5999,5999,20,1199.8,4799.2,479.92
68,29/06/2022,44,0,P021,1,1299,1299,0,0,1299,129.9
69,02/10/2023,35,0,P028,1,349,349,0,0,349,34.9
70,04/01/2020,34,0,P023,2,1499,2998,0,0,2998,299.8
71,07/05/2020,20,PR001,P023,3,1499,4497,20,899.4,3597.6,359.76
72,31/12/2023,2,PR005,P030,1,399,399,70,279.3,119.7,11.97
73,22/07/2023,20,PR004,P029,2,99,198,50,99,99,9.9
74,14/01/2022,6,0,P010,1,2199,2199,0,0,2199,219.9
75,14/04/2023,14,PR001,P029,2,99,198,20,39.6,158.4,15.84
76,13/11/2021,10,0,P018,3,2299,6897,0,0,6897,689.7
77,26/01/2020,48,0,P021,1,1299,1299,0,0,1299,129.9
78,26/08/2021,32,0,P026,3,5499,16497,0,0,16497,1649.7
79,01/01/2022,32,PR003,P024,3,2799,8397,50,4198.5,4198.5,419.85
80,22/03/2022,35,0,P024,1,2799,2799,0,0,2799,279.9
81,30/10/2021,26,0,P021,3,1299,3897,0,0,3897,389.7
82,05/06/2020,24,0,P006,2,7499,14998,0,0,14998,1499.8
83,10/05/2022,6,PR001,P004,1,64999,64999,20,12999.8,51999.2,5199.92
84,07/06/2023,17,0,P017,1,10499,10499,0,0,10499,1049.9
85,22/12/2021,38,0,P007,2,6999,13998,0,0,13998,1399.8
86,31/12/2023,2,PR005,P016,2,24999,49998,70,34998.6,14999.4,1499.94
87,28/02/2020,1,0,P010,2,2199,4398,0,0,4398,439.8
88,16/01/2023,14,0,P007,2,6999,13998,0,0,13998,1399.8
89,22/10/2023,44,0,P030,1,399,399,0,0,399,39.9
90,16/03/2022,18,0,P017,1,10499,10499,0,0,10499,1049.9
91,22/08/2021,15,0,P026,2,5499,10998,0,0,10998,1099.8
92,19/10/2021,8,0,P027,1,699,699,0,0,699,69.9
93,20/04/2023,19,PR001,P007,2,6999,13998,20,2799.6,11198.4,1119.84
94,09/04/2023,13,PR001,P018,2,2299,4598,20,919.6,3678.4,367.84
95,30/12/2023,36,PR005,P022,2,1999,3998,70,2798.6,1199.4,119.94
96,01/05/2020,30,PR001,P026,2,5499,10998,20,2199.6,8798.4,879.84
97,18/11/2023,28,0,P028,3,349,1047,0,0,1047,104.7
98,01/03/2021,8,0,P018,3,2299,6897,0,0,6897,689.7
99,02/03/2021,45,0,P017,2,10499,20998,0,0,20998,2099.8
100,17/08/2020,42,0,P019,1,5999,5999,0,0,5999,599.9
101,16/12/2021,38,0,P019,2,5999,11998,0,0,11998,1199.8
102,03/03/2022,20,0,P010,2,2199,4398,0,0,4398,439.8
103,17/06/2022,45,0,P018,1,2299,2299,0,0,2299,229.9
104,01/04/2022,4,PR001,P014,1,4999,4999,20,999.8,3999.2,399.92
105,20/04/2021,13,PR001,P024,3,2799,8397,20,1679.4,6717.6,671.76
106,10/04/2020,12,PR001,P024,2,2799,5598,20,1119.6,4478.4,447.84
107,06/04/2021,15,PR001,P026,3,5499,16497,20,3299.4,13197.6,1319.76
108,31/07/2022,27,PR004,P026,2,5499,10998,50,5499,5499,549.9
109,22/01/2022,13,0,P024,1,2799,2799,0,0,2799,279.9
110,14/09/2021,45,0,P017,1,10499,10499,0,0,10499,1049.9
111,01/08/2023,24,0,P030,2,399,798,0,0,798,79.8
112,30/12/2023,38,PR005,P023,1,1499,1499,70,1049.3,449.7,44.97
113,10/11/2022,12,0,P020,3,12999,38997,0,0,38997,3899.7
114,30/11/2020,29,0,P015,3,8499,25497,0,0,25497,2549.7
115,09/04/2020,16,PR001,P025,1,8999,8999,20,1799.8,7199.2,719.92
116,31/07/2020,48,0,P019,2,5999,11998,0,0,11998,1199.8
117,29/10/2022,32,0,P025,2,8999,17998,0,0,17998,1799.8
118,26/06/2023,47,0,P016,1,24999,24999,0,0,24999,2499.9
119,19/05/2022,48,PR001,P004,2,64999,129998,20,25999.6,103998.4,10399.84
120,31/10/2023,27,0,P018,3,2299,6897,0,0,6897,689.7
121,22/05/2021,11,PR001,P018,2,2299,4598,20,919.6,3678.4,367.84
122,08/07/2022,49,0,P014,1,4999,4999,0,0,4999,499.9
123,29/10/2022,44,0,P029,1,99,99,0,0,99,9.9
124,23/10/2021,28,0,P001,2,79999,159998,0,0,159998,15999.8
125,27/04/2020,38,PR001,P017,3,10499,31497,20,6299.4,25197.6,2519.76
126,05/11/2023,5,0,P010,2,2199,4398,0,0,4398,439.8
127,12/01/2023,37,0,P018,2,2299,4598,0,0,4598,459.8
128,13/09/2023,38,0,P008,1,5499,5499,0,0,5499,549.9
129,21/07/2022,45,0,P015,2,8499,16998,0,0,16998,1699.8
130,29/12/2021,40,0,P030,3,399,1197,0,0,1197,119.7
131,02/02/2023,50,0,P005,1,92499,92499,0,0,92499,9249.9
132,27/08/2020,25,0,P007,2,6999,13998,0,0,13998,1399.8
133,08/10/2020,27,0,P024,1,2799,2799,0,0,2799,279.9
134,29/01/2020,43,0,P025,3,8999,26997,0,0,26997,2699.7
135,26/08/2022,16,0,P017,3,10499,31497,0,0,31497,3149.7
136,06/03/2020,47,0,P019,1,5999,5999,0,0,5999,599.9
137,07/01/2023,32,0,P007,2,6999,13998,0,0,13998,1399.8
138,16/12/2022,9,0,P008,1,5499,5499,0,0,5499,549.9
139,30/03/2020,42,0,P008,1,5499,5499,0,0,5499,549.9
140,09/10/2020,50,0,P013,2,15999,31998,0,0,31998,3199.8
141,23/03/2022,4,0,P028,2,349,698,0,0,698,69.8
142,10/02/2021,13,0,P020,1,12999,12999,0,0,12999,1299.9
143,29/10/2022,33,0,P020,1,12999,12999,0,0,12999,1299.9
144,22/06/2021,35,0,P007,1,6999,6999,0,0,6999,699.9
145,26/03/2023,46,0,P010,2,2199,4398,0,0,4398,439.8
146,21/11/2023,23,0,P008,2,5499,10998,0,0,10998,1099.8
147,07/09/2023,23,0,P029,3,99,297,0,0,297,29.7
148,26/07/2021,5,0,P008,3,5499,16497,0,0,16497,1649.7
149,05/09/2021,28,0,P029,1,99,99,0,0,99,9.9
150,06/06/2023,15,0,P027,1,699,699,0,0,699,69.9
151,09/02/2020,40,0,P012,2,2999,5998,0,0,5998,599.8
152,06/05/2020,39,PR001,P004,3,64999,194997,20,38999.4,155997.6,15599.76
153,29/05/2022,21,PR001,P008,3,5499,16497,20,3299.4,13197.6,1319.76
154,27/03/2020,46,0,P007,3,6999,20997,0,0,20997,2099.7
155,14/09/2020,14,0,P017,2,10499,20998,0,0,20998,2099.8
156,09/08/2020,39,0,P026,2,5499,10998,0,0,10998,1099.8
157,10/08/2021,46,0,P003,3,89999,269997,0,0,269997,26999.7
158,28/06/2020,26,0,P021,3,1299,3897,0,0,3897,389.7
159,04/03/2022,34,0,P025,3,8999,26997,0,0,26997,2699.7
160,07/03/2020,1,0,P017,2,10499,20998,0,0,20998,2099.8
161,27/02/2020,30,0,P018,2,2299,4598,0,0,4598,459.8
162,02/12/2020,38,0,P008,1,5499,5499,0,0,5499,549.9
163,10/05/2022,47,PR001,P025,1,8999,8999,20,1799.8,7199.2,719.92
164,30/04/2022,38,PR001,P002,3,69999,209997,20,41999.4,167997.6,16799.76
165,29/10/2022,19,0,P004,2,64999,129998,0,0,129998,12999.8
166,11/01/2022,6,0,P028,1,349,349,0,0,349,34.9
167,30/09/2023,18,0,P001,3,79999,239997,0,0,239997,23999.7
168,26/04/2020,22,PR001,P015,3,8499,25497,20,5099.4,20397.6,2039.76
169,25/03/2023,26,0,P020,1,12999,12999,0,0,12999,1299.9
170,11/02/2021,43,0,P023,1,1499,1499,0,0,1499,149.9
171,27/07/2020,16,0,P004,2,64999,129998,0,0,129998,12999.8
172,29/05/2022,8,PR001,P012,1,2999,2999,20,599.8,2399.2,239.92
173,26/08/2020,48,0,P023,3,1499,4497,0,0,4497,449.7
174,09/09/2021,11,0,P017,1,10499,10499,0,0,10499,1049.9
